label,message
spam,You have won a free $1000 Amazon gift card! Click here to claim now.
ham,Hi John, can we reschedule our meeting to next week?
spam,Get cheap loans approved instantly. Limited time offer!
ham,Please find attached the report for your review.
spam,Your account has been compromised. Urgent action required!
ham,Let's catch up for coffee this Friday.
spam,Congratulations! You are selected for a cash prize. Respond now.
ham,Can you send me the latest project files?
spam,Claim your free vacation now. Only a few spots left!
ham,Thanks for your help with the presentation.
spam,Update your payment information to avoid service interruption.
ham,Reminder: Your dentist appointment is tomorrow at 10am.
spam,Exclusive offer: Buy one, get one free on all items!
ham,Happy birthday! Hope you have a wonderful day.
spam,Verify your account to avoid suspension. Click here.
ham,Can you review the attached document and provide feedback?
spam,You have been selected for a limited time investment opportunity.
ham,The meeting has been moved to 3pm.
spam,Unlock your full potential with this online course. Enroll now!
ham,Please RSVP for the team lunch by Thursday.
spam,Act now to receive your free trial subscription.
ham,Let me know if you need any help with the project.
spam,Get rich quick with this proven method. Sign up today!
ham,I'll be working from home tomorrow.
spam,Your tax refund is ready. Submit your details to claim.
ham,The files you requested are attached.
spam,You have a new voicemail. Listen now to avoid missing out.
ham,Looking forward to our call next week.
spam,Final notice: Your account will be closed unless you respond.
ham,Can you send me the minutes from the last meeting?
spam,Win a brand new car! Enter the contest now.
ham,Thank you for your prompt response.
spam,Get exclusive access to premium content. Click here.
ham,Please update your contact information in the system.
spam,You have been pre-approved for a credit card.
ham,Let's schedule a time to discuss the proposal.
spam,Your loan application has been approved. Confirm your details.
ham,The invoice for last month is attached.
spam,Special promotion: Save 50% on your next purchase.
ham,I'll send you the draft by end of day.
spam,You are eligible for a government grant. Apply now.
ham,Can you join the call at 2pm?
spam,Your password will expire soon. Reset it now.
ham,Please see the attached agenda for tomorrow's meeting.
spam,Get a free trial of our new product. No credit card required.
ham,Let me know if you have any questions.
spam,You have received a secure document. View it here.
ham,Thanks for the update on the project status.
spam,Your subscription is about to expire. Renew now to continue.
ham,I'll be out of the office next week.
spam,You have been chosen for a special reward. Claim it today.
ham,Please confirm your attendance for the event.
spam,Your account has been locked. Click here to unlock.
ham,The presentation slides are attached for your review.
spam,Get a free quote for your insurance needs.
ham,Can you send me the travel itinerary?
spam,You have a pending payment. Complete it now to avoid fees.
ham,Looking forward to seeing you at the conference.
spam,Your order has shipped. Track your package here.
ham,Please let me know your availability for a meeting.
spam,You have been selected for a free upgrade. Accept now.
ham,The project deadline has been extended by one week.
spam,Get instant access to your credit score. Sign up now.
ham,I'll call you after my meeting.
spam,Your account is at risk. Take action immediately.
ham,Thank you for your feedback on the report.
spam,You have received a new secure message. Read it now.
ham,Please review the attached contract and sign.
spam,Your payment was declined. Update your information.
ham,I'll send you the updated file shortly.
spam,You have been selected for a free trial. Start today.
ham,Can you provide an update on the project?
spam,Get a free consultation with our experts. Book now.
ham,The meeting notes are attached for your reference.
spam,Your account has unusual activity. Verify now.
ham,Please let me know if you need any assistance.
spam,You have a new login from an unknown device. Review now.
ham,I'll be on vacation next week.
spam,Get a free sample of our latest product.
ham,Thank you for your help with the event.
spam,Your account is eligible for a special bonus. Claim now.
ham,Please see the attached invoice for your records.
spam,You have been selected for a free gift card.
ham,Can you send me the meeting agenda?
spam,Your account has been flagged for suspicious activity.
ham,I'll follow up with you next week.
spam,Get a free eBook on financial planning. Download now.
ham,Thank you for your quick response.
spam,You have a new security alert. Check your account.
ham,Please let me know if you have any concerns.
spam,Your account is eligible for a free upgrade.
ham,I'll send you the final version by tomorrow.
spam,Get a free trial of our premium service.
ham,Can you review the attached document?
spam,You have been selected for a free membership.
ham,Thank you for your assistance with the project.
spam,Your account has been suspended. Reactivate now.
ham,Please see the attached file for your review.
spam,Get a free quote for your home insurance.
ham,I'll be in the office all day tomorrow.
spam,You have a pending refund. Claim it now.
ham,Can you send me the updated schedule?
spam,Your account is eligible for a free trial.
ham,Thank you for your support.
spam,Get a free consultation with our specialists.
ham,Please let me know if you have any questions about the report.
spam,You have been selected for a free subscription.
ham,I'll send you the meeting notes by end of day.
spam,Your account has been compromised. Reset your password now.
ham,Can you provide the latest update on the project?
spam,Get a free sample of our new product.
ham,Thank you for your help with the presentation.
spam,You have a new message from your bank. View now.
ham,Please see the attached document for your review.
spam,Your account is eligible for a free consultation.
ham,I'll be available for a call after 2pm.
