label,message
spam,Urgent: Your account has been compromised. Verify immediately using this link.
ham,"Hello Karan, your order #21767 has been shipped and will arrive by April 6."
spam,Urgent: Your account has been compromised. Verify immediately using this link.
ham,"Dear Priya, your invoice for this month is attached. Kindly process the payment."
spam,Congratulations! You have won a $1000 gift card. Click here to claim now!
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Dear Ananya, your invoice for this month is attached. Kindly process the payment."
spam,Limited offer! Buy now and get 3 items free. Hurry!
spam,Limited offer! Buy now and get 3 items free. Hurry!
ham,"Hi Amit, just a reminder about the team meeting scheduled for April 7."
spam,Your PayPal account is suspended. Click here to restore access immediately.
spam,Urgent: Your account has been compromised. Verify immediately using this link.
ham,"Hello Ananya, your subscription has been renewed successfully."
spam,Urgent: Your account has been compromised. Verify immediately using this link.
spam,Urgent: Your account has been compromised. Verify immediately using this link.
ham,"Hi Karan, just checking if we can reschedule our meeting to tomorrow at 4 PM."
spam,Your PayPal account is suspended. Click here to restore access immediately.
ham,"Hi Neha, can you review the document I shared yesterday?"
spam,Your PayPal account is suspended. Click here to restore access immediately.
ham,"Hello Karan, your order #39787 has been shipped and will arrive by April 7."
ham,"Hello Ananya, your order #74229 has been shipped and will arrive by April 7."
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Hello Amit, your order #82539 has been shipped and will arrive by April 7."
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Dear Shreya, your invoice for this month is attached. Kindly process the payment."
ham,"Hi Priya, just checking if we can reschedule our meeting to tomorrow at 4 PM."
spam,You have been selected for a FREE vacation. Limited time offer!
ham,"Hello Priya, your order #52559 has been shipped and will arrive by April 5."
ham,"Hello Amit, your subscription has been renewed successfully."
ham,"Hello Priya, your subscription has been renewed successfully."
spam,Win a brand new iPhone! Click here to participate.
spam,Limited offer! Buy now and get 3 items free. Hurry!
ham,"Hi Shreya, just a reminder about the team meeting scheduled for April 5."
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Hello Ananya, your order #89118 has been shipped and will arrive by April 5."
ham,"Dear Karan, thank you for attending the session today. Please find the notes attached."
ham,"Dear Amit, your invoice for this month is attached. Kindly process the payment."
ham,"Dear Rahul, thank you for attending the session today. Please find the notes attached."
ham,"Hello Ananya, your order #23024 has been shipped and will arrive by April 6."
ham,"Hi Rahul, can you review the document I shared yesterday?"
ham,"Dear Shreya, please find attached the report for this week. Let me know your feedback."
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Hello Priya, your order #87959 has been shipped and will arrive by April 6."
ham,"Dear Shreya, please find attached the report for this week. Let me know your feedback."
ham,"Hi Karan, just a reminder about the team meeting scheduled for April 8."
ham,"Dear Priya, thank you for attending the session today. Please find the notes attached."
ham,"Hello Shreya, your subscription has been renewed successfully."
ham,"Hello Amit, your order #89383 has been shipped and will arrive by April 8."
spam,This is not a scam! Claim your reward before it expires.
ham,"Hi Neha, just checking if we can reschedule our meeting to tomorrow at 11 AM."
spam,Earn money from home with zero investment. Sign up today!
spam,Your PayPal account is suspended. Click here to restore access immediately.
spam,Exclusive deal! Get 90% discount on luxury watches. Shop now!
ham,"Hi Vikram, just checking if we can reschedule our meeting to tomorrow at 10 AM."
spam,Earn money from home with zero investment. Sign up today!
ham,"Hi Amit, just checking if we can reschedule our meeting to tomorrow at 4 PM."
ham,"Hi Rahul, just checking if we can reschedule our meeting to tomorrow at 2 PM."
ham,"Hello Shreya, please update the project status by EOD."
spam,Earn money from home with zero investment. Sign up today!
ham,"Hello Vikram, please update the project status by EOD."
ham,"Dear Neha, thank you for attending the session today. Please find the notes attached."
spam,This is not a scam! Claim your reward before it expires.
ham,"Hi Karan, just checking if we can reschedule our meeting to tomorrow at 4 PM."
spam,This is not a scam! Claim your reward before it expires.
ham,"Hello Amit, your subscription has been renewed successfully."
ham,"Hi Amit, just a reminder about the team meeting scheduled for April 6."
ham,"Dear Vikram, your invoice for this month is attached. Kindly process the payment."
spam,Urgent: Your account has been compromised. Verify immediately using this link.
spam,Win a brand new iPhone! Click here to participate.
ham,"Hi Rahul, can you review the document I shared yesterday?"
ham,"Hi Priya, looking forward to our discussion later today."
spam,Urgent: Your account has been compromised. Verify immediately using this link.
spam,You have been selected for a FREE vacation. Limited time offer!
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Dear Priya, thank you for attending the session today. Please find the notes attached."
ham,"Hello Vikram, your subscription has been renewed successfully."
ham,"Dear Neha, your invoice for this month is attached. Kindly process the payment."
spam,You have been selected for a FREE vacation. Limited time offer!
spam,Your PayPal account is suspended. Click here to restore access immediately.
ham,"Hello Ananya, your order #44969 has been shipped and will arrive by April 5."
spam,You have been selected for a FREE vacation. Limited time offer!
ham,"Hi Vikram, can you review the document I shared yesterday?"
spam,Urgent: Your account has been compromised. Verify immediately using this link.
ham,"Hello Amit, please update the project status by EOD."
ham,"Dear Neha, please find attached the report for this week. Let me know your feedback."
ham,"Dear Karan, thank you for attending the session today. Please find the notes attached."
spam,Win a brand new iPhone! Click here to participate.
spam,Urgent: Your account has been compromised. Verify immediately using this link.
ham,"Hi Vikram, just checking if we can reschedule our meeting to tomorrow at 10 AM."
ham,"Hello Ananya, please update the project status by EOD."
spam,Urgent: Your account has been compromised. Verify immediately using this link.
ham,"Hi Karan, looking forward to our discussion later today."
ham,"Hi Karan, can you review the document I shared yesterday?"
spam,Urgent: Your account has been compromised. Verify immediately using this link.
spam,Exclusive deal! Get 90% discount on luxury watches. Shop now!
spam,Win a brand new iPhone! Click here to participate.
ham,"Hi Vikram, can you review the document I shared yesterday?"
spam,You have been selected for a FREE vacation. Limited time offer!
spam,You have been selected for a FREE vacation. Limited time offer!
ham,"Hello Ananya, your order #30374 has been shipped and will arrive by April 8."
ham,"Dear Amit, your invoice for this month is attached. Kindly process the payment."
spam,Your PayPal account is suspended. Click here to restore access immediately.
ham,"Hello Amit, your order #56744 has been shipped and will arrive by April 6."
ham,"Hi Vikram, can you review the document I shared yesterday?"
ham,"Dear Shreya, please find attached the report for this week. Let me know your feedback."
ham,"Dear Vikram, please find attached the report for this week. Let me know your feedback."
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Hello Amit, your subscription has been renewed successfully."
ham,"Hi Rahul, can you review the document I shared yesterday?"
spam,Win a brand new iPhone! Click here to participate.
spam,You have been selected for a FREE vacation. Limited time offer!
spam,Exclusive deal! Get 90% discount on luxury watches. Shop now!
ham,"Hi Rahul, just checking if we can reschedule our meeting to tomorrow at 10 AM."
ham,"Hello Karan, your order #96570 has been shipped and will arrive by April 8."
ham,"Hello Karan, please update the project status by EOD."
spam,Win a brand new iPhone! Click here to participate.
ham,"Hello Priya, please update the project status by EOD."
ham,"Dear Karan, thank you for attending the session today. Please find the notes attached."
spam,Earn money from home with zero investment. Sign up today!
ham,"Hi Rahul, can you review the document I shared yesterday?"
ham,"Hi Ananya, just a reminder about the team meeting scheduled for April 8."
spam,Win a brand new iPhone! Click here to participate.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now!
spam,This is not a scam! Claim your reward before it expires.
ham,"Hi Vikram, can you review the document I shared yesterday?"
spam,Your PayPal account is suspended. Click here to restore access immediately.
ham,"Hi Ananya, just checking if we can reschedule our meeting to tomorrow at 4 PM."
ham,"Hi Rahul, can you review the document I shared yesterday?"
spam,Act now! Your loan has been pre-approved. No credit check required.
spam,Urgent: Your account has been compromised. Verify immediately using this link.
spam,Limited offer! Buy now and get 3 items free. Hurry!
ham,"Hello Karan, your order #41368 has been shipped and will arrive by April 5."
ham,"Hi Karan, looking forward to our discussion later today."
spam,This is not a scam! Claim your reward before it expires.
spam,You have been selected for a FREE vacation. Limited time offer!
spam,Limited offer! Buy now and get 3 items free. Hurry!
ham,"Hello Shreya, your subscription has been renewed successfully."
ham,"Dear Amit, thank you for attending the session today. Please find the notes attached."
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Dear Neha, please find attached the report for this week. Let me know your feedback."
spam,Win a brand new iPhone! Click here to participate.
ham,"Hello Ananya, your subscription has been renewed successfully."
spam,You have been selected for a FREE vacation. Limited time offer!
spam,Urgent: Your account has been compromised. Verify immediately using this link.
ham,"Hi Ananya, can you review the document I shared yesterday?"
spam,Congratulations! You have won a $1000 gift card. Click here to claim now!
ham,"Hi Shreya, just a reminder about the team meeting scheduled for April 7."
ham,"Hi Karan, looking forward to our discussion later today."
spam,This is not a scam! Claim your reward before it expires.
spam,Act now! Your loan has been pre-approved. No credit check required.
spam,Win a brand new iPhone! Click here to participate.
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Hello Vikram, please update the project status by EOD."
spam,Win a brand new iPhone! Click here to participate.
spam,Limited offer! Buy now and get 3 items free. Hurry!
ham,"Hello Amit, please update the project status by EOD."
spam,This is not a scam! Claim your reward before it expires.
ham,"Hi Shreya, just checking if we can reschedule our meeting to tomorrow at 10 AM."
spam,Limited offer! Buy now and get 3 items free. Hurry!
ham,"Hi Rahul, looking forward to our discussion later today."
spam,You have been selected for a FREE vacation. Limited time offer!
ham,"Hi Shreya, looking forward to our discussion later today."
spam,Exclusive deal! Get 90% discount on luxury watches. Shop now!
spam,Win a brand new iPhone! Click here to participate.
ham,"Dear Priya, thank you for attending the session today. Please find the notes attached."
ham,"Hello Ananya, your subscription has been renewed successfully."
ham,"Hello Amit, your subscription has been renewed successfully."
ham,"Hi Neha, just a reminder about the team meeting scheduled for April 5."
spam,Earn money from home with zero investment. Sign up today!
spam,Your PayPal account is suspended. Click here to restore access immediately.
spam,Exclusive deal! Get 90% discount on luxury watches. Shop now!
ham,"Hello Vikram, your subscription has been renewed successfully."
spam,Win a brand new iPhone! Click here to participate.
ham,"Hello Ananya, please update the project status by EOD."
spam,Win a brand new iPhone! Click here to participate.
spam,Limited offer! Buy now and get 3 items free. Hurry!
spam,Urgent: Your account has been compromised. Verify immediately using this link.
spam,Exclusive deal! Get 90% discount on luxury watches. Shop now!
ham,"Dear Shreya, thank you for attending the session today. Please find the notes attached."
ham,"Hello Amit, your subscription has been renewed successfully."
spam,Exclusive deal! Get 90% discount on luxury watches. Shop now!
spam,You have been selected for a FREE vacation. Limited time offer!
spam,Your PayPal account is suspended. Click here to restore access immediately.
ham,"Hi Karan, can you review the document I shared yesterday?"
spam,Exclusive deal! Get 90% discount on luxury watches. Shop now!
spam,Your PayPal account is suspended. Click here to restore access immediately.
ham,"Dear Amit, please find attached the report for this week. Let me know your feedback."
ham,"Hello Rahul, your order #72710 has been shipped and will arrive by April 6."
ham,"Hi Rahul, just checking if we can reschedule our meeting to tomorrow at 10 AM."
spam,Act now! Your loan has been pre-approved. No credit check required.
ham,"Hi Vikram, looking forward to our discussion later today."
ham,"Hi Ananya, just a reminder about the team meeting scheduled for April 8."
ham,"Dear Neha, please find attached the report for this week. Let me know your feedback."
ham,"Hi Rahul, just checking if we can reschedule our meeting to tomorrow at 11 AM."
spam,Urgent: Your account has been compromised. Verify immediately using this link.
spam,Limited offer! Buy now and get 3 items free. Hurry!
ham,"Hello Neha, your subscription has been renewed successfully."
spam,Your PayPal account is suspended. Click here to restore access immediately.
ham,"Hello Karan, your order #29724 has been shipped and will arrive by April 6."
ham,"Hi Rahul, can you review the document I shared yesterday?"
ham,"Hello Shreya, your subscription has been renewed successfully."
spam,Congratulations! You have won a $1000 gift card. Click here to claim now!
spam,Win a brand new iPhone! Click here to participate.
spam,Urgent: Your account has been compromised. Verify immediately using this link.
ham,"Hi Vikram, just a reminder about the team meeting scheduled for April 5."
